,transfer_strategy,model_arch,mic-f1_median,mic-f1_mean,mic-f1_std,support,augmentation
18,A --> E,BLSTM,0.7176162315707751,0.7055014918924947,0.0314967468577126,139,cn
19,A --> E,DLSTM,0.6252858178573419,0.6377515443628526,0.0336825804746139,139,cn
20,A --> E,Transformer,0.5447400321501041,0.5501067297742405,0.0140880577132326,139,cs
22,A --> G,BLSTM,0.8513708513708513,0.8598940586335543,0.032355798071503,21,cn
23,A --> G,DLSTM,0.9047619047619048,0.916959039508059,0.0293649723377597,21,cn
24,A --> G,Transformer,0.9504569504569504,0.935225268558602,0.0263820469326669,21,cs
25,A --> O,BLSTM,0.7533333333333333,0.7363626030122195,0.0315141976886949,20,cs
46,A --> A,BLSTM,0.9615384615384616,0.9560262603740864,0.009547412478238,52,c
47,A --> A,DLSTM,0.9256353402694866,0.9265537198038616,0.0020826654366976,52,
48,A --> A,Transformer,0.9055562910984598,0.8758517995465787,0.0514496885808585,52,cs
55,E --> A,BLSTM,0.7486914961883477,0.7373041726575558,0.0208768426065965,263,cbn
56,E --> A,DLSTM,0.7217581929396425,0.7177169667293635,0.0128511232341298,263,cbn
57,E --> A,Transformer,0.682866985148354,0.6828669851483541,0.0,263,
59,E --> G,BLSTM,0.8095238095238095,0.795978215333054,0.0234616573570982,21,cbn
60,E --> G,DLSTM,0.7770620184413288,0.7769345050133228,0.042177015314914,21,cn
61,E --> G,Transformer,0.658944658944659,0.6821535821535822,0.0401990341868194,21,cbn
62,E --> O,BLSTM,0.7288401253918495,0.6926854754440961,0.0626216906393763,20,c
66,E --> E,BLSTM,0.894397283531409,0.9020830451277536,0.0210785008595697,27,
67,E --> E,DLSTM,0.906318082788671,0.9000946180579324,0.0134066750275127,27,cn
68,E --> E,Transformer,0.8572990705303445,0.8572990705303445,0.0,27,
69,G --> A,BLSTM,0.662384917388046,0.6674652930981124,0.0202403230629944,263,cbn
70,G --> A,Transformer,0.0796939222723665,0.0796939222723665,0.0,263,
71,G --> E,BLSTM,0.5638756639209771,0.5704224907130032,0.0113394366321424,139,cs
72,G --> E,Transformer,0.0184323129731508,0.0184323129731508,0.0,139,
73,G --> O,BLSTM,0.70625,0.7041666666666666,0.0036084391824352,20,c
74,G --> O,Transformer,0.1814814814814814,0.1814814814814814,0.0,20,
75,G --> G,BLSTM,0.8571428571428571,0.8746031746031746,0.1176425013567478,4,
76,G --> G,Transformer,0.6428571428571428,0.6428571428571428,0.0,4,
77,O --> A,BLSTM,0.7597272270144959,0.7562768426026952,0.0122786899342943,263,cs
78,O --> A,DLSTM,0.7741367829979864,0.7701732493412737,0.0119302684412646,263,cs
79,O --> A,Transformer,0.8479829481114491,0.8451165008411653,0.0297353596176374,263,c
81,O --> E,BLSTM,0.8037709692385951,0.7965573011178325,0.0127771232521206,139,
82,O --> E,DLSTM,0.8187208800418757,0.8249981752538703,0.0118444042243762,139,c
83,O --> E,Transformer,0.8937302173217803,0.8685239775868726,0.0454683946179678,139,cs
84,O --> G,BLSTM,0.7142857142857143,0.5714285714285715,0.2474358296526967,21,cn
85,O --> G,DLSTM,0.5578231292517007,0.5510204081632654,0.0875001423200668,21,
86,O --> G,Transformer,0.8613322161709258,0.8724883241012273,0.0283900546612009,21,c
92,O --> O,BLSTM,0.7333333333333334,0.7333333333333334,0.0,4,
93,O --> O,Transformer,0.7333333333333334,0.5333333333333333,0.3756475889861548,4,
